Unique,Coin,Date,Length,Sex,Maturity,Age ,,,,,,,,,
1,1,12/19/2023,337,M,,12,,,,,,,,,
2,2,12/19/2023,342,F,R,18,,,,,,,,,
3,3,12/19/2023,312,M,,9,,,,,,,,,
4,4,12/19/2023,325,F,R,8,,,,,,,,,
5,5,12/19/2023,344,F,R,19,,,,,,,,,
6,6,12/19/2023,331,M,,11,,,,,,,,,
7,7,12/19/2023,348,M,,17,,,,,,,,,
8,8,12/19/2023,343,M,,13,,,,,,,,,
9,9,12/19/2023,361,M,,17,,,,,,,,,
10,10,12/19/2023,347,F,R,17,,,,,,,,,
11,11,12/19/2023,333,M,,18,,,,,,,,,
12,12,12/19/2023,439,M,,28,,,,,,,,, 
13,13,12/19/2023,345,M,,19,,,,,,,,,
14,14,12/19/2023,327,F,R,15,,,,,,,,,
15,15,12/19/2023,328,M,,10,,,,,,,,,
16,16,12/19/2023,392,M,,28,,,,,,,,,
17,17,12/19/2023,331,F,R,13,,,,,,,,,
18,18,12/19/2023,334,M,,,,,,,,,,,
19,19,12/19/2023,364,F,R,22,,,,,,,,,
20,20,12/19/2023,371,F,R,22,,,,,,,,,
21,21,12/19/2023,329,M,,12,,,,,,,,,
22,22,12/19/2023,348,M,,13,,,,,,,,,
23,23,12/19/2023,389,M,,21,,,,,,,,,
24,24,12/19/2023,375,M,,27,,,,,,,,,
25,25,12/19/2023,389,F,R,22,,,,,,,,,
26,26,12/19/2023,352,M,,18,,,,,,,,,
27,27,12/19/2023,331,F,R,11,,,,,,,,,
28,28,12/19/2023,327,F,R,17,,,,,,,,,
29,29,12/19/2023,340,F,R,13,,,,,,,,,
30,30,12/19/2023,343,M,,17,,,,,,,,,
31,31,12/19/2023,402,M,,33,,,,,,,,,
32,32,12/19/2023,347,F,R,17,,,,,,,,,
33,33,12/19/2023,340,F,R,17,,,,,,,,,
34,34,12/19/2023,328,M,,13,,,,,,,,,
35,35,12/19/2023,346,M,,22,,,,,,,,,
36,36,12/19/2023,341,M,,13,,,,,,,,,
37,37,12/19/2023,333,F,R,17,,,,,,,,,
38,38,12/19/2023,339,M,,9,,,,,,,,,
39,39,12/19/2023,366,M,,20,,,,,,,,,
40,40,12/19/2023,344,M,,20,,,,,,,,,
41,41,12/19/2023,327,F,R,9,,,,,,,,,
42,42,12/19/2023,317,M,,14,,,,,,,,,
43,43,12/19/2023,339,M,,10,,,,,,,,,
44,44,12/19/2023,347,M,,17,,,,,,,,,
45,45,12/19/2023,349,M,,19,,,,,,,,,
46,46,12/19/2023,347,M,,16,,,,,,,,,
47,47,12/19/2023,343,M,,10,,,,,,,,,
48,48,12/19/2023,344,M,,17,,,,,,,,,
49,49,12/19/2023,355,M,,17,,,,,,,,,
50,50,12/19/2023,386,F,R,20,,,,,,,,,
51,51,12/19/2023,304,M,,10,,,,,,,,,
52,52,12/19/2023,357,M,,16,,,,,,,,,
53,53,12/19/2023,352,M,,18,,,,,,,,,
54,54,12/19/2023,343,M,,17,,,,,,,,,
55,55,12/19/2023,340,M,,10,,,,,,,,,
56,56,12/19/2023,343,F,R,16,,,,,,,,,
57,57,12/19/2023,315,M,,8,,,,,,,,,
58,58,12/19/2023,350,F,R,12,,,,,,,,,
59,59,12/19/2023,338,M,,19,,,,,,,,,
60,60,12/19/2023,324,M,,10,,,,,,,,,
61,61,12/19/2023,325,F,R,9,,,,,,,,,
62,62,12/19/2023,374,M,,17,,,,,,,,,
63,63,12/19/2023,336,M,,17,,,,,,,,,
64,64,12/19/2023,334,M,,13,,,,,,,,,
65,65,12/19/2023,326,M,,8,,,,,,,,,
66,66,12/19/2023,351,M,,17,,,,,,,,,
67,67,12/19/2023,337,M,,22,,,,,,,,,
68,68,12/19/2023,360,F,R,16,,,,,,,,,
69,69,12/19/2023,342,M,,13,,,,,,,,,
70,70,12/19/2023,347,M,,17,,,,,,,,,
71,71,12/19/2023,322,F,R,8,,,,,,,,,
72,72,12/19/2023,346,M,,21,,,,,,,,,
73,73,12/19/2023,419,F,R,14,,,,,,,,,
74,74,12/19/2023,478,M,,34,,,,,,,,,
75,75,12/19/2023,441,M,,33,,,,,,,,,
76,76,12/19/2023,325,F,R,11,,,,,,,,,
77,77,12/19/2023,343,F,R,16,,,,,,,,,
78,78,12/19/2023,334,F,R,17,,,,,,,,,
79,79,12/19/2023,329,F,R,7,,,,,,,,,
80,80,12/19/2023,335,M,,10,,,,,,,,,
81,1,12/28/2023,379,F,R,17,,,,,,,,,
82,2,12/28/2023,340,F,S,18,,,,,,,,,
83,3,12/28/2023,333,F,R,16,,,,,,,,,
84,4,12/28/2023,342,F,S,12,,,,,,,,,
85,5,12/28/2023,364,F,R,18,,,,,,,,,
86,6,12/28/2023,342,F,R,12,,,,,,,,,
87,7,12/28/2023,340,F,R,12,,,,,,,,,
88,8,12/28/2023,350,M,,17,,,,,,,,,
89,9,12/28/2023,353,F,S,13,,,,,,,,,
90,10,12/28/2023,342,F,R,16,,,,,,,,,
91,11,12/28/2023,338,F,R,17,,,,,,,,,
92,12,12/28/2023,341,M,,20,,,,,,,,,
93,13,12/28/2023,360,M,,20,,,,,,,,,
94,14,12/28/2023,344,M,,17,,,,,,,,,
95,15,12/28/2023,423,F,R,34,,,,,,,,,
96,16,12/28/2023,311,F,R,,,,,,,,,,
97,17,12/28/2023,331,M,,17,,,,,,,,,
98,18,12/28/2023,327,F,R,9,,,,,,,,,
99,19,12/28/2023,395,F,R,22,,,,,,,,,
100,20,12/28/2023,334,M,,9,,,,,,,,,
101,21,12/28/2023,396,M,,17,,,,,,,,,
102,22,12/28/2023,387,F,S,18,,,,,,,,,
103,23,12/28/2023,363,M,,22,,,,,,,,,
104,24,12/28/2023,372,F,R,17,,,,,,,,,
105,25,12/28/2023,313,M,NO OTOS,,,,,,,,,,
106,26,12/28/2023,368,M,,19,,,,,,,,,
107,27,12/28/2023,368,F,R,32,,,,,,,,,
108,28,12/28/2023,332,F,R,,,,,,,,,,
109,29,12/28/2023,369,F,S,19,,,,,,,,,
110,30,12/28/2023,322,M,,10,,,,,,,,,
111,31,12/28/2023,354,F,R,23,,,,,,,,,
112,32,12/28/2023,419,F,Skip S,32,,,,,,,,,
113,33,12/28/2023,323,M,,10,,,,,,,,,
114,34,12/28/2023,329,F,R,13,,,,,,,,,
115,35,12/28/2023,321,F,S,12,,,,,,,,,
116,36,12/28/2023,351,M,,20,,,,,,,,,
117,37,12/28/2023,348,F,S,33,,,,,,,,,
118,38,12/28/2023,346,F,R,13,,,,,,,,,
119,39,12/28/2023,331,M,,11,,,,,,,,,
120,40,12/28/2023,315,F,R,11,,,,,,,,,
121,41,12/28/2023,323,F,S,20,,,,,,,,,
122,42,12/28/2023,372,F,S,27,,,,,,,,,
123,43,12/28/2023,331,F,S,17,,,,,,,,,
124,44,12/28/2023,362,F,R,22,,,,,,,,,
125,45,12/28/2023,343,M,,13,,,,,,,,,
126,46,12/28/2023,313,M,,9,,,,,,,,,
127,47,12/28/2023,350,M,,30,,,,,,,,,
128,48,12/28/2023,393,F,R,35,,,,,,,,,
129,49,12/28/2023,340,F,R,10,,,,,,,,,
130,50,12/28/2023,327,F,R,12,,,,,,,,,
131,51,12/28/2023,340,M,,7,,,,,,,,,
132,52,12/28/2023,364,F,R,14,,,,,,,,,
133,53,12/28/2023,343,M,,17,,,,,,,,,
134,54,12/28/2023,330,F,R,14,,,,,,,,,
135,55,12/28/2023,365,M,,30,,,,,,,,,
136,56,12/28/2023,357,M,,19,,,,,,,,,
137,57,12/28/2023,347,F,S,21,,,,,,,,,
138,58,12/28/2023,349,F,R,15,,,,,,,,,
139,59,12/28/2023,343,F,S,12,,,,,,,,,
140,60,12/28/2023,354,M,,22,,,,,,,,,
141,61,12/28/2023,344,M,,12,,,,,,,,,
142,62,12/28/2023,332,M,,10,,,,,,,,,
143,63,12/28/2023,324,F,R,18,,,,,,,,,
144,64,12/28/2023,311,M,,15,,,,,,,,,
145,65,12/28/2023,353,M,,22,,,,,,,,,
146,66,12/28/2023,373,M,,20,,,,,,,,,
147,67,12/28/2023,341,M,,18,,,,,,,,,
148,68,12/28/2023,346,F,R,16,,,,,,,,,
149,69,12/28/2023,352,M,,16,,,,,,,,,
150,70,12/28/2023,336,F,S,13,,,,,,,,,
151,71,12/28/2023,337,F,S,12,,,,,,,,,
152,72,12/28/2023,346,M,,19,,,,,,,,,
153,73,12/28/2023,348,M,,20,,,,,,,,,
154,74,12/28/2023,329,F,R,17,,,,,,,,,
155,75,12/28/2023,340,F,S,13,,,,,,,,,
156,76,12/28/2023,333,F,S,9,,,,,,,,,
157,77,12/28/2023,341,M,,16,,,,,,,,,
158,78,12/28/2023,359,F,R,15,,,,,,,,,
159,79,12/28/2023,347,F,R,20,,,,,,,,,
160,80,12/28/2023,360,F,R,12,,,,,,,,,
161,81,12/28/2023,357,F,,13,,,,,,,,,
162,82,12/28/2023,349,F,R,12,,,,,,,,,
163,83,12/28/2023,326,F,S,16,,,,,,,,,
164,84,12/28/2023,340,M,,17,,,,,,,,,
165,85,12/28/2023,352,M,,22,,,,,,,,,
166,86,12/28/2023,328,F,S,13,,,,,,,,,
167,87,12/28/2023,368,M,,23,,,,,,,,,
168,88,12/28/2023,305,F,R,8,,,,,,,,,
169,89,12/28/2023,332,F,S,9,,,,,,,,,
170,90,12/28/2023,398,F,PS,26,,,,,,,,,
171,91,12/28/2023,330,M,,9,,,,,,,,,
172,92,12/28/2023,326,F,S,9,,,,,,,,,
173,93,12/28/2023,393,F,R,27,,,,,,,,,
174,94,12/28/2023,341,F,R,13,,,,,,,,,
175,95,12/28/2023,342,F,R,20,,,,,,,,,
176,96,12/28/2023,337,F,R,13,,,,,,,,,
177,97,12/28/2023,349,M,,20,,,,,,,,,
178,98,12/28/2023,336,F,S,18,,,,,,,,,
179,99,12/28/2023,341,M,,22,,,,,,,,,
180,100,12/28/2023,406,M,,21,,,,,,,,,
181,101,12/28/2023,345,M,,15,,,,,,,,,
182,102,12/28/2023,333,F,R,12,,,,,,,,,
183,103,12/28/2023,307,F,R,9,,,,,,,,,
184,104,12/28/2023,344,F,PS,13,,,,,,,,,
185,105,12/28/2023,332,F,R,16,,,,,,,,,
186,106,12/28/2023,317,F,PS,7,,,,,,,,,
187,107,12/28/2023,329,M,,7,,,,,,,,,
188,108,12/28/2023,357,M,,19,,,,,,,,,
189,109,12/28/2023,351,F,S,15,,,,,,,,,
190,110,12/28/2023,332,F,PS,13,,,,,,,,,
191,111,12/28/2023,322,F,R,14,,,,,,,,,
192,112,12/28/2023,335,F,R,11,,,,,,,,,
193,113,12/28/2023,312,F,R,9,,,,,,,,,
194,114,12/28/2023,334,M,,10,,,,,,,,,
195,115,12/28/2023,404,F,PS,25,,,,,,,,,
196,116,12/28/2023,342,F,S,,,,,,,,,,
197,117,12/28/2023,326,F,R,13,,,,,,,,,
198,118,12/28/2023,341,M,,9,,,,,,,,,
199,119,12/28/2023,328,F,S,10,,,,,,,,,
200,120,12/28/2023,417,M,,23,,,,,,,,,
201,121,12/28/2023,324,F,R,8,,,,,,,,,
202,122,12/28/2023,331,F,PS,9,,,,,,,,,
203,123,12/28/2023,347,F,R,19,,,,,,,,,
204,124,12/28/2023,328,F,R,10,,,,,,,,,
205,125,12/28/2023,349,F,R,13,,,,,,,,,
206,126,12/28/2023,250,F,R,7,,,,,,,,,
207,1,1/3/2024,326,F,S,16,,,,,,,,,
208,2,1/3/2024,316,F,R,8,,,,,,,,,
209,3,1/3/2024,368,F,PS,23,,,,,,,,,
210,4,1/3/2024,343,F,PS,19,,,,,,,,,
211,5,1/3/2024,346,M,,21,,,,,,,,,
212,6,1/3/2024,332,M,,8,,,,,,,,,
213,7,1/3/2024,340,M,,11,,,,,,,,,
214,8,1/3/2024,325,F,R,9,,,,,,,,,
215,9,1/3/2024,419,M,,32,,,,,,,,,
216,10,1/3/2024,348,F,R,27,,,,,,,,,
217,11,1/3/2024,331,F,S,17,,,,,,,,,
218,12,1/3/2024,337,F,R,16,,,,,,,,,
219,13,1/3/2024,352,F,S,16,,,,,,,,,
220,14,1/3/2024,323,F,S,12,,,,,,,,,
221,15,1/3/2024,341,M,,19,,,,,,,,,
222,16,1/3/2024,378,M,,25,,,,,,,,,
223,17,1/3/2024,372,F,S,26,,,,,,,,,
224,18,1/3/2024,353,F,S,20,,,,,,,,,
225,19,1/3/2024,348,F,S,15,,,,,,,,,
226,20,1/3/2024,331,M,,12,,,,,,,,,
227,21,1/3/2024,330,M,,9,,,,,,,,,
228,22,1/3/2024,342,F,R,22,,,,,,,,,
229,23,1/3/2024,347,M,,20,,,,,,,,,
230,24,1/3/2024,333,F,R,9,,,,,,,,,
231,25,1/3/2024,328,M,,11,,,,,,,,,
232,26,1/3/2024,391,M,,21,,,,,,,,,
233,27,1/3/2024,354,M,,22,,,,,,,,,
234,28,1/3/2024,326,M,,12,,,,,,,,,
235,29,1/3/2024,311,M,,7,,,,,,,,,
236,30,1/3/2024,317,M,,10,,,,,,,,,
237,31,1/3/2024,347,F,PS,20,,,,,,,,,
238,32,1/3/2024,339,M,,19,,,,,,,,,
239,33,1/3/2024,350,M,,13,,,,,,,,,
240,34,1/3/2024,328,F,R,10,,,,,,,,,
241,35,1/3/2024,338,F,S,19,,,,,,,,,
242,36,1/3/2024,328,M,,16,,,,,,,,,
243,37,1/3/2024,335,F,R,18,,,,,,,,,
244,38,1/3/2024,339,F,R,18,,,,,,,,,
245,39,1/3/2024,341,M,,14,,,,,,,,,
246,40,1/3/2024,336,F,S,18,,,,,,,,,
247,41,1/3/2024,314,F,R,9,,,,,,,,,
248,42,1/3/2024,334,M,,10,,,,,,,,,
249,43,1/3/2024,325,F,S,13,,,,,,,,,
250,44,1/3/2024,323,F,S,13,,,,,,,,,
251,45,1/3/2024,334,M,,9,,,,,,,,,
252,46,1/3/2024,345,M,,18,,,,,,,,,
253,47,1/3/2024,363,F,PS,22,,,,,,,,,
254,48,1/3/2024,328,F,S,13,,,,,,,,,
255,49,1/3/2024,354,F,R,22,,,,,,,,,
256,50,1/3/2024,389,F,S,20,,,,,,,,,
257,51,1/3/2024,332,F,S,11,,,,,,,,,
258,52,1/3/2024,354,M,,20,,,,,,,,,
259,53,1/3/2024,332,M,,12,,,,,,,,,
260,54,1/3/2024,343,F,S,22,,,,,,,,,
261,55,1/3/2024,308,F,S,10,,,,,,,,,
262,56,1/3/2024,328,F,S,17,,,,,,,,,
263,57,1/3/2024,335,M,,9,,,,,,,,,
264,58,1/3/2024,343,M,,20,,,,,,,,,
265,59,1/3/2024,347,M,,16,,,,,,,,,
266,60,1/3/2024,333,F,R,20,,,,,,,,,
267,61,1/3/2024,334,F,S,15,,,,,,,,,
268,62,1/3/2024,329,M,,10,,,,,,,,,
269,63,1/3/2024,356,F,R,21,,,,,,,,,
270,64,1/3/2024,322,M,,13,,,,,,,,,
271,65,1/3/2024,327,M,,9,,,,,,,,,
272,66,1/3/2024,331,F,S,12,,,,,,,,,
273,67,1/3/2024,353,F,S,31,,,,,,,,,
274,68,1/3/2024,340,F,R,20,,,,,,,,,
275,69,1/3/2024,336,F,R,19,,,,,,,,,
276,70,1/3/2024,330,M,,12,,,,,,,,,
277,71,1/3/2024,321,M,,10,,,,,,,,,
278,72,1/3/2024,358,M,,20,,,,,,,,,
279,73,1/3/2024,389,F,S,32,,,,,,,,,
280,74,1/3/2024,352,M,,19,,,,,,,,,
281,75,1/3/2024,312,F,R,9,,,,,,,,,
282,76,1/3/2024,340,F,S,19,,,,,,,,,
283,77,1/3/2024,351,F,S,13,,,,,,,,,
284,78,1/3/2024,337,M,,10,,,,,,,,,
285,79,1/3/2024,319,M,,12,,,,,,,,,
286,80,1/3/2024,316,F,S,9,,,,,,,,,
287,81,1/3/2024,325,M,,10,,,,,,,,,
288,82,1/3/2024,343,M,,22,,,,,,,,,
289,83,1/3/2024,321,M,,10,,,,,,,,,
290,84,1/3/2024,352,F,R,22,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
